Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
9699,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1950.0,986.749,1013.313,524.659,488.654,1483.622,107.368,18.883,32.459,32.033,53.129,5.244,13.218,44.926,3.556,44.336,6.225,2.52,29.282,106.1,12.467,7.375,5.092,12.303,54.092,50.226,59.162,48.162,44.291,53.299,10.826,8.075,13.804,5.39,3.674,7.093,3.996,93.281,41.989,5.414,132.665,215.345,232.544,195.63,462.148,553.734,366.105,172.033,198.662,138.302,368.948,470.339,265.119,20.67,20.398
9700,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1951.0,1039.878,1068.035,555.92,512.115,1563.742,108.554,18.599,34.134,31.96,56.315,5.274,13.143,46.536,3.775,43.572,6.253,2.572,29.29,106.1,12.402,7.335,5.067,11.612,55.26,51.39,60.33,48.476,44.576,53.639,10.977,8.14,13.906,5.509,3.688,7.127,3.956,84.969,43.765,5.279,118.778,199.75,215.691,181.405,448.159,537.815,350.481,167.219,193.101,133.822,363.362,461.578,258.216,22.18,20.767
9701,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1952.0,1096.193,1126.09,589.102,536.987,1648.74,109.705,18.358,36.201,32.148,59.793,5.311,13.051,48.398,4.009,42.979,6.286,2.625,29.298,106.2,12.197,7.232,4.965,10.831,56.426,52.572,61.474,48.838,44.948,53.983,11.146,8.25,14.013,5.628,3.728,7.164,3.744,76.984,45.767,4.985,105.778,184.602,199.297,167.666,433.349,520.035,335.1,161.607,186.344,129.401,356.418,450.302,251.329,23.594,20.952
9702,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1953.0,1155.986,1187.52,624.217,563.303,1738.682,110.814,18.154,38.45,32.378,63.068,5.312,13.049,50.502,4.255,42.527,6.321,2.678,29.305,106.2,12.052,7.201,4.851,10.149,57.467,53.603,62.576,49.136,45.258,54.321,11.28,8.33,14.118,5.724,3.75,7.201,3.532,69.405,47.932,4.672,93.95,170.809,184.946,154.575,420.148,504.627,320.21,156.602,180.674,125.126,350.598,440.932,244.617,24.622,20.734
9703,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1954.0,1219.054,1252.281,661.261,591.02,1833.501,111.885,17.984,41.348,33.018,66.454,5.308,13.059,52.737,4.491,42.113,6.346,2.733,29.313,106.2,11.389,6.735,4.655,9.095,59.423,55.785,63.989,50.442,46.857,54.97,11.603,8.726,14.248,5.832,3.83,7.216,3.326,62.606,50.236,4.367,83.636,153.596,166.043,139.419,381.126,448.1,300.622,143.953,163.795,118.119,316.51,386.069,233.336,25.106,20.048
9704,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1955.0,1285.508,1320.23,700.215,620.016,1932.988,112.935,17.86,44.39,33.623,69.445,5.261,13.175,55.217,4.724,41.824,6.375,2.782,29.321,106.2,10.827,6.353,4.474,8.201,61.214,57.788,65.308,51.711,48.397,55.674,12.047,9.313,14.406,6.088,4.152,7.273,3.15,56.723,52.78,4.094,74.84,140.2,152.113,126.553,349.312,403.907,281.743,132.364,148.961,110.755,289.154,344.197,221.09,25.051,18.975
9705,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1956.0,1354.953,1390.956,740.865,650.091,2036.538,113.963,17.79,47.724,34.31,72.005,5.178,13.386,58.236,4.947,41.867,6.444,2.841,29.329,106.2,10.512,6.118,4.394,7.557,62.617,59.531,66.154,52.712,49.802,56.038,12.354,9.931,14.339,6.202,4.485,7.151,3.014,51.737,55.838,3.876,67.62,128.776,139.421,116.638,327.672,371.817,271.299,124.366,139.024,105.155,271.308,314.391,215.991,24.287,17.461
9706,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1957.0,1426.958,1458.271,778.298,679.973,2135.097,114.46,17.708,49.951,34.253,62.626,4.295,16.138,60.417,4.986,41.43,6.404,2.846,29.33,106.2,10.466,6.164,4.301,7.177,63.394,60.386,66.986,53.114,50.258,56.531,12.146,9.786,14.204,5.894,4.271,6.824,2.866,47.489,58.091,3.655,61.542,117.149,126.655,106.237,308.656,352.319,251.002,114.099,127.876,95.871,255.578,298.327,198.682,12.676,8.692
9707,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1958.0,1489.584,1515.727,807.66,708.067,2219.22,114.066,17.558,51.348,33.878,52.286,3.45,20.091,61.78,4.967,40.76,6.316,2.824,29.301,106.2,10.432,6.21,4.221,6.882,64.026,60.988,67.758,53.388,50.492,56.963,12.2,9.726,14.482,5.887,4.115,6.942,2.706,43.817,59.551,3.434,56.409,109.88,118.116,100.605,295.899,338.906,238.505,109.851,123.033,92.452,246.438,288.464,189.855,0.928,0.612
9708,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1959.0,1541.87,1567.754,832.875,734.879,2295.394,113.335,17.373,51.346,32.752,51.768,3.302,20.992,61.532,4.76,39.249,6.121,2.755,29.327,106.3,10.186,6.08,4.106,6.497,64.794,61.718,68.564,53.833,50.886,57.461,12.234,9.74,14.536,5.87,4.044,6.885,2.494,40.615,59.446,3.164,51.979,102.137,110.691,92.456,279.74,323.86,220.832,102.248,116.534,83.581,233.474,276.721,175.262,0.421,0.269
9709,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1960.0,1593.638,1619.322,857.949,761.373,2370.897,112.685,17.174,49.365,30.486,51.369,3.173,21.845,59.428,4.174,36.7,5.765,2.61,29.416,106.3,10.063,6.041,4.022,6.214,65.297,62.15,69.145,54.039,51.033,57.73,12.37,9.791,14.772,6.028,4.032,7.087,2.238,37.623,57.539,2.848,47.901,96.471,105.922,85.81,271.512,314.743,214.288,98.67,113.446,79.695,228.486,270.548,172.362,2.008,1.24
9710,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1961.0,1645.007,1670.461,882.872,787.589,2445.77,112.098,16.959,47.42,28.387,50.908,3.048,22.741,57.449,3.751,34.391,5.418,2.469,29.4,106,10.029,6.031,3.998,6.004,65.686,62.568,69.521,54.158,51.174,57.844,12.184,9.607,14.64,5.919,3.87,6.963,2.018,34.998,55.732,2.571,44.333,89.316,98.873,78.487,261.703,303.269,207.242,93.251,107.445,75.24,221.503,261.851,168.231,3.49,2.089
9711,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1962.0,1695.915,1721.176,907.614,813.562,2520.023,111.56,16.79,46.794,27.187,50.521,2.935,23.617,56.851,3.358,33.03,5.216,2.388,29.409,105.9,10.057,6.08,3.978,5.843,66.09,62.918,70,54.33,51.297,58.085,12.312,9.723,14.78,6.027,3.912,7.045,1.868,32.757,55.246,2.371,41.338,85.207,95.198,73.912,256.535,298.801,201.649,90.625,105.353,72.154,219.012,259.972,165.469,3.714,2.158
9712,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1963.0,1746.436,1771.513,932.181,839.332,2593.723,111.062,16.731,47.495,26.811,50.153,2.831,24.484,57.636,3.167,32.535,5.159,2.374,29.491,105.6,10.141,6.161,3.98,5.724,66.488,63.261,70.474,54.537,51.462,58.351,12.42,9.787,14.952,6.18,3.961,7.215,1.776,30.864,56.091,2.236,38.803,81.369,90.898,70.747,252.174,294.896,197.239,88.62,103.18,70.527,216.889,258.101,163.582,2.668,1.506
9713,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1964.0,1796.589,1821.466,956.563,864.902,2666.86,110.598,16.792,46.708,25.643,49.753,2.732,25.371,57.014,2.993,31.301,4.971,2.296,29.55,105.4,10.306,6.263,4.042,5.658,66.712,63.499,70.681,54.613,51.554,58.409,12.284,9.753,14.75,6.016,3.874,7.004,1.665,29.262,55.556,2.092,36.718,79.533,90.138,67.738,247.377,290.75,192.227,87.315,102.856,68.275,213.677,255.532,160.204,3.043,1.671
9714,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1965.0,1846.342,1870.822,980.672,890.15,2739.125,110.169,16.954,44.769,23.93,48.961,2.617,26.486,55.227,3.116,29.52,4.667,2.161,29.514,105.4,10.458,6.344,4.114,5.59,66.943,63.787,70.851,54.707,51.697,58.45,12.085,9.69,14.459,5.762,3.781,6.679,1.54,27.868,53.875,1.936,34.879,77.205,87.957,65.275,239.53,283.313,184.373,84.927,100.963,65.437,207.199,249.565,153.624,4.199,2.244
9715,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1966.0,1895.303,1919.09,1004.279,914.811,2809.794,109.78,17.199,44.063,22.96,47.573,2.479,27.961,54.679,3.195,28.492,4.452,2.066,29.334,105.4,10.616,6.439,4.177,5.532,67.237,64.141,71.125,54.869,51.897,58.622,11.887,9.545,14.314,5.507,3.589,6.455,1.453,26.595,53.395,1.818,33.145,73.253,83.894,61.392,229.27,271.688,176.437,81.189,96.823,62.299,198.206,239.429,146.699,3.507,1.827
9716,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1967.0,1942.876,1965.679,1027.066,938.612,2878.007,109.424,17.504,39.599,20.146,45.606,2.32,29.877,50.462,3.539,25.672,3.914,1.82,28.99,105.4,10.863,6.597,4.266,5.526,67.331,64.268,71.206,54.836,51.9,58.574,11.784,9.531,14.158,5.382,3.589,6.303,1.287,25.362,49.327,1.626,31.552,70.035,80.258,58.703,226.464,269.781,172.848,79.635,95.443,60.588,196.83,238.933,144.588,6.006,3.055
9717,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1968.0,1988.482,2010.092,1048.751,961.341,2943.034,109.092,17.86,36.426,18.121,43.22,2.15,32.239,47.363,3.345,23.562,3.528,1.643,28.941,105.7,10.937,6.645,4.291,5.441,67.663,64.612,71.518,55.049,52.118,58.773,11.863,9.603,14.296,5.375,3.604,6.35,1.153,24.152,46.344,1.465,29.989,66.894,77.047,55.697,220.129,262.037,168.783,78.473,94.516,59.26,191.819,232.523,141.849,6.792,3.379
9718,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1969.0,2031.702,2052.157,1069.182,982.976,3004.623,108.77,18.255,34.146,16.639,40.911,1.994,34.762,45.101,3.084,21.977,3.222,1.501,28.854,106.1,10.955,6.605,4.35,5.338,68.076,65.073,71.758,55.338,52.461,58.878,12.172,10.068,14.331,5.506,3.958,6.353,1.042,22.917,44.176,1.325,28.424,65.077,75.477,53.646,216.95,259.953,164.651,77.754,94.295,58.076,190.188,231.951,139.341,6.763,3.296
9719,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1970.0,2072.613,2091.558,1087.754,1003.804,3062.31,108.363,18.675,33.866,16.192,37.89,1.812,38.253,44.882,3.016,21.459,3.068,1.431,28.926,106.2,11.016,6.603,4.413,5.267,68.5,65.555,72.053,55.644,52.81,59.071,12.482,10.424,14.57,5.684,4.234,6.516,0.973,21.645,44.013,1.228,26.805,63.138,73.186,52.14,212.45,254.349,162.023,77.341,93.64,58.097,187.097,227.918,137.938,4.024,1.924
9720,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1971.0,2110.503,2128.433,1104.266,1024.167,3116.3,107.821,19.104,35.287,16.579,35.86,1.685,41.136,46.513,3.094,21.853,3.02,1.41,28.772,106.5,11.226,6.713,4.512,5.274,68.796,65.869,72.288,55.816,53.008,59.171,12.689,10.689,14.685,5.865,4.461,6.671,0.942,20.322,45.67,1.167,25.112,60.63,70.841,49.507,210.263,251.995,160.474,76.473,92.857,57.302,186.4,226.943,138.034,0.573,0.269
9721,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1972.0,2146.363,2164.334,1119.974,1044.36,3168.864,107.24,19.538,37.565,17.357,35.942,1.661,41.731,49.123,3.189,22.697,3.031,1.415,28.713,106.7,11.558,6.895,4.663,5.34,68.964,66.046,72.437,55.892,53.095,59.223,12.694,10.7,14.692,5.85,4.472,6.625,0.921,18.915,48.297,1.122,23.329,58.897,69.032,47.932,207.037,248.869,157.379,75.507,92.154,56.209,184.158,224.751,135.996,-1.631,-0.754
9722,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1973.0,2182.305,2200.137,1135.674,1064.464,3221.284,106.69,19.98,36.174,16.442,35.664,1.621,42.76,47.807,3.128,21.729,2.782,1.301,28.541,106.9,11.633,6.885,4.748,5.287,69.357,66.509,72.703,56.158,53.432,59.361,12.775,10.888,14.637,5.833,4.553,6.533,0.831,17.482,47.066,1.011,21.507,55.933,66.204,44.883,200.146,241.447,151.513,72.632,88.804,54.171,178.678,218.708,131.586,-0.495,-0.225
9723,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1974.0,2217.969,2235.075,1150.963,1084.112,3272.438,106.166,20.442,31.459,14.075,34.212,1.531,45.274,43.136,2.764,19.3,2.351,1.101,28.228,107.1,11.677,6.944,4.733,5.225,69.709,66.795,73.149,56.38,53.58,59.688,12.878,10.935,14.829,5.893,4.565,6.635,0.698,16.114,42.522,0.863,19.791,53.781,63.95,42.899,196.612,238.756,147.13,72.244,88.792,53.549,176.695,217.673,128.633,2.748,1.229
9724,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1975.0,2252.181,2268.523,1165.492,1103.031,3321.41,105.663,20.931,28.58,12.599,32.684,1.441,48.102,40.184,2.349,17.714,2.08,0.977,28.198,107.1,11.604,6.888,4.716,5.115,70.232,67.326,73.639,56.763,53.962,60.045,13.09,11.16,15.025,6.033,4.654,6.822,0.604,14.892,39.657,0.754,18.252,50.529,60.365,40.05,189.489,230.661,141.584,69.225,85.571,51.035,171.26,211.307,124.721,4.104,1.809
9725,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1976.0,2284.865,2300.743,1179.391,1121.351,3368.584,105.176,21.444,30.806,13.39,31.756,1.38,50.228,42.58,2.276,18.507,2.09,0.982,28.125,107.3,11.774,7.016,4.757,5.117,70.57,67.589,74.063,57.007,54.129,60.379,13.325,11.347,15.32,6.25,4.792,7.113,0.591,13.908,42.06,0.729,17.045,48.401,58.183,38.008,186.826,228.874,138.12,67.115,84.821,47.598,169.733,210.695,122.354,0.949,0.412
9726,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1977.0,2316.621,2331.545,1192.569,1138.976,3413.682,104.705,21.979,27.095,11.621,29.848,1.28,54.152,39.017,1.92,16.734,1.826,0.858,28.133,107.4,11.922,7.014,4.908,5.113,70.884,68.011,74.192,57.249,54.478,60.439,13.487,11.618,15.344,6.281,4.919,7.1,0.518,13.171,38.566,0.644,16.128,47.311,57.084,36.969,180.93,220.977,135.015,64.918,82.057,46.312,164.642,203.599,120.049,2.757,1.182
9727,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1978.0,2346.469,2360.602,1204.903,1155.699,3456.226,104.258,22.537,27.827,11.788,28.267,1.197,57.907,39.966,1.749,16.93,1.787,0.84,28.156,107.5,12.139,7.067,5.072,5.142,71.163,68.386,74.326,57.475,54.777,60.544,13.688,11.882,15.464,6.38,5.122,7.147,0.504,12.619,39.524,0.621,15.439,45.884,54.664,36.615,177.84,216.786,133.494,63.505,79.355,46.483,162.199,200.329,118.852,0.436,0.185
9728,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1979.0,2374.736,2388.157,1216.603,1171.554,3496.57,103.845,23.114,29.233,12.241,26.842,1.124,61.668,41.719,1.695,17.469,1.789,0.841,28.206,107.7,12.486,7.194,5.292,5.228,71.357,68.672,74.391,57.612,54.99,60.571,13.713,12.004,15.387,6.279,5.193,6.96,0.503,12.149,41.275,0.611,14.851,44.579,53.003,35.697,173.502,211.234,130.958,62.721,78.062,46.401,158.503,195.613,116.732,-2.384,-0.998
9729,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1980.0,2401.578,2437.493,1240.089,1197.404,3568.804,103.565,23.717,29.393,12.059,71.83,2.947,23.52,42.176,1.674,17.303,1.739,0.818,28.213,107.6,12.783,7.354,5.429,5.244,71.528,68.837,74.565,57.749,55.107,60.726,13.872,12.167,15.542,6.44,5.396,7.119,0.488,11.707,41.744,0.589,14.309,42.781,50.726,34.421,173.296,211.598,130.518,61.005,76.055,45.147,158.722,196.578,116.521,42.433,17.408
9730,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1981.0,2473.408,2531.802,1287.651,1244.151,3706.884,103.496,24.323,30.917,12.211,116.788,4.614,15.023,44.122,1.623,17.427,1.711,0.805,28.242,107.8,13.205,7.621,5.584,5.216,71.748,68.985,74.863,57.936,55.231,60.983,13.995,12.243,15.722,6.525,5.424,7.268,0.49,11.228,43.689,0.587,13.724,42.349,51.295,32.928,170.696,209.13,128.077,60.167,76.053,43.483,156.483,194.346,114.591,85.869,33.916
